feature,importance
src_numSuccessors,0.42713907
src_finalOpcode,0.056178764
is_back_edge,0.03954808
succ_idx,0.039203107
dst_is_loop_header,0.034844916
dst_loopDepth,0.028708553
src_numPtrCmps,0.025213305
src_loopDepth,0.024778081
dst_numSuccessors,0.023830337
dst_finalOpcode,0.023762727
src_numICmps,0.023677865
dst_numParentBlocks,0.021936858
src_avgValueUsage,0.017271033
src_numPtrCmpNull,0.014321581
dst_numVarsUsed,0.01103642
src_exitDistance,0.0098231165
src_fracIArith,0.009446097
dst_fracCalls,0.008891253
dst_avgPhiIncomingEdges,0.008430924
src_numCmpsZero,0.007649818
dst_exitDistance,0.0060333107
dst_avgValueUsage,0.005946384
dst_maxValueUsage,0.005876406
dst_fracPhiNodes,0.005772416
src_numCmpsNegOne,0.005735966
src_maxValueUsage,0.0053281332
dst_entranceDistance,0.004831136
src_numInstr,0.0047743283
dst_numInstr,0.004708241
dst_numCmpsZero,0.004690701
dst_maxPhiIncoming,0.004661863
src_numVarsUsed,0.004578518
src_fracCalls,0.004363797
src_fracStores,0.0039992924
src_numBothPtrUnknown,0.0039595305
dst_numFCmps,0.0038459592
dst_numBothPtrUnknown,0.0036204322
dst_numCmpsBothUnknown,0.0035223037
src_numParentBlocks,0.003135185
dst_fracLoads,0.0030921965
dst_numICmps,0.0029850055
src_fracArith,0.0029038647
dst_fracStores,0.0027773064
src_fracPhiNodes,0.00269329
src_numFCmps,0.0025704543
src_numCmpsBothUnknown,0.0024900665
dst_fracArith,0.002458918
dst_numCmpsOtherConst,0.0023269078
src_fracCasts,0.002268791
dst_numPtrCmpNull,0.0022632095
dst_fracIArith,0.00223251
dst_numCmpsNegOne,0.0021750191
src_fracFArith,0.0021156725
dst_fracCasts,0.002063406
src_fracLoads,0.001975519
dst_numPtrCmpOtherConst,0.0019535306
src_maxPhiIncoming,0.0019151005
dst_numPtrCmps,0.0018844431
src_numPtrCmpOtherConst,0.0018231601
src_avgPhiIncomingEdges,0.0018153201
src_numCmpsOtherConst,0.0018145385
src_fracAllocs,0.0015947323
dst_fracFArith,0.0014213892
src_entranceDistance,0.0013098324
dst_fracOtherMem,0.0
dst_fracAllocs,0.0
src_fracOtherMem,0.0
